birth,death
6.450118129820966217e+00,6.530246893178023981e+00
5.585966157835530410e+00,5.769161040473397506e+00
5.585966157835530410e+00,5.858610731916929382e+00
5.585966157835530410e+00,5.858610731916929382e+00
5.492077686929392577e+00,5.858610731916929382e+00
5.299312797413967324e+00,5.492077686929392577e+00
5.299312797413967324e+00,5.492077686929392577e+00
5.200251486959002634e+00,5.299312797413967324e+00
5.099266116844971108e+00,5.200251486959002634e+00
4.996240019573425784e+00,5.299312797413967324e+00
4.996240019573425784e+00,5.200251486959002634e+00
4.996240019573425784e+00,5.200251486959002634e+00
4.996240019573425784e+00,5.200251486959002634e+00
4.673554593833122439e+00,4.996240019573425784e+00
4.673554593833122439e+00,4.996240019573425784e+00
4.673554593833122439e+00,4.996240019573425784e+00
4.560922269050696976e+00,4.673554593833122439e+00
3.815941346643811904e+00,4.204962562577004626e+00
3.815941346643811904e+00,4.204962562577004626e+00
3.677133090304137930e+00,3.815941346643811904e+00
3.677133090304137930e+00,3.815941346643811904e+00
3.532875198275978068e+00,3.815941346643811904e+00
3.532875198275978068e+00,3.677133090304137930e+00
3.382470483149469409e+00,3.532875198275978068e+00
3.382470483149469409e+00,3.815941346643811904e+00
3.382470483149469409e+00,3.677133090304137930e+00
3.225059064910483109e+00,3.382470483149469409e+00
3.225059064910483109e+00,3.382470483149469409e+00
3.225059064910483109e+00,3.382470483149469409e+00
3.225059064910483109e+00,4.079412893475977242e+00
3.059559670106982932e+00,3.225059064910483109e+00
3.059559670106982932e+00,3.225059064910483109e+00
2.884580520236698753e+00,3.059559670106982932e+00
