birth,death
5.469274906243327017e+00,5.822487761550442009e+00
4.465644261101485490e+00,4.575923688179694970e+00
4.117120579567998817e+00,4.236482125542107013e+00
3.736226045984910815e+00,4.117120579567998817e+00
3.600317504521040046e+00,3.736226045984910815e+00
3.459073170666555619e+00,3.600317504521040046e+00
3.311810421308826413e+00,3.459073170666555619e+00
3.157687339391650028e+00,3.311810421308826413e+00
2.995645239346422350e+00,3.600317504521040046e+00
2.995645239346422350e+00,3.157687339391650028e+00
2.995645239346422350e+00,3.311810421308826413e+00
2.995645239346422350e+00,3.600317504521040046e+00
2.824321417028071490e+00,2.995645239346422350e+00
2.824321417028071490e+00,3.459073170666555619e+00
2.824321417028071490e+00,3.157687339391650028e+00
2.824321417028071490e+00,2.995645239346422350e+00
2.824321417028071490e+00,3.736226045984910815e+00
2.445934095598773172e+00,2.824321417028071490e+00
2.445934095598773172e+00,2.824321417028071490e+00
2.445934095598773172e+00,3.157687339391650028e+00
1.412160708514035745e+00,1.729536585333277809e+00
9.985484131154741538e-01,1.412160708514035745e+00
9.985484131154741538e-01,1.412160708514035745e+00
9.985484131154741538e-01,1.412160708514035745e+00
0.000000000000000000e+00,5.991290478692844701e+00
0.000000000000000000e+00,9.985484131154741538e-01
