birth,death
6.696348384842752743e+00,6.931379090606676563e+00
6.616149702736104032e+00,6.696348384842752743e+00
6.616149702736104032e+00,6.696348384842752743e+00
6.285129885716813192e+00,6.369497820276079914e+00
6.024941765180585662e+00,6.199613929766880638e+00
5.845052067302322740e+00,5.935678433982610080e+00
5.369023156833993227e+00,5.564323792066907970e+00
5.268658734103828678e+00,5.369023156833993227e+00
5.166344941472400976e+00,5.268658734103828678e+00
5.061963576726561165e+00,5.268658734103828678e+00
5.061963576726561165e+00,5.166344941472400976e+00
4.620919393737784375e+00,5.935678433982610080e+00
4.503915101470150617e+00,4.620919393737784375e+00
4.383789050476741167e+00,4.846461146833240363e+00
4.383789050476741167e+00,4.620919393737784375e+00
4.260277178413240051e+00,4.383789050476741167e+00
4.260277178413240051e+00,5.935678433982610080e+00
3.267483438628417503e+00,3.426965541682916339e+00
3.099806964883440319e+00,3.267483438628417503e+00
3.099806964883440319e+00,3.267483438628417503e+00
3.099806964883440319e+00,3.426965541682916339e+00
2.922526033651161370e+00,3.099806964883440319e+00
2.530981788363280582e+00,2.922526033651161370e+00
2.530981788363280582e+00,2.922526033651161370e+00
1.461263016825580685e+00,1.789674385611331076e+00
1.461263016825580685e+00,1.789674385611331076e+00
1.033268988294480106e+00,1.461263016825580685e+00
1.033268988294480106e+00,1.461263016825580685e+00
1.033268988294480106e+00,1.461263016825580685e+00
1.033268988294480106e+00,1.461263016825580685e+00
0.000000000000000000e+00,6.931379090606676563e+00
0.000000000000000000e+00,2.066537976588960213e+00
0.000000000000000000e+00,1.033268988294480106e+00
0.000000000000000000e+00,2.310459696868892188e+00
0.000000000000000000e+00,1.789674385611331076e+00
