birth,death
6.621763540253498448e+00,6.909799589903693473e+00
6.472940860862949286e+00,6.621763540253498448e+00
6.472940860862949286e+00,6.838927977046736828e+00
6.472940860862949286e+00,6.621763540253498448e+00
6.084980764244517282e+00,6.320615032845128489e+00
5.922685362774594786e+00,6.084980764244517282e+00
5.922685362774594786e+00,6.084980764244517282e+00
5.839846522728466383e+00,5.922685362774594786e+00
5.755815573107175176e+00,5.839846522728466383e+00
5.755815573107175176e+00,5.839846522728466383e+00
5.755815573107175176e+00,5.839846522728466383e+00
5.755815573107175176e+00,5.839846522728466383e+00
5.755815573107175176e+00,5.839846522728466383e+00
5.755815573107175176e+00,5.839846522728466383e+00
5.670539517032078258e+00,5.755815573107175176e+00
5.670539517032078258e+00,5.839846522728466383e+00
5.670539517032078258e+00,5.755815573107175176e+00
5.670539517032078258e+00,5.755815573107175176e+00
5.583961310469631734e+00,5.670539517032078258e+00
5.315772796557399538e+00,5.670539517032078258e+00
5.315772796557399538e+00,5.670539517032078258e+00
5.033314706276336814e+00,5.315772796557399538e+00
4.935571135645496099e+00,5.033314706276336814e+00
4.835852348616144880e+00,4.935571135645496099e+00
4.835852348616144880e+00,4.935571135645496099e+00
4.629976127672251529e+00,4.835852348616144880e+00
4.629976127672251529e+00,4.835852348616144880e+00
2.207254513417832964e+00,2.417926174308072440e+00
1.395990327617407933e+00,1.709731994261684207e+00
1.395990327617407933e+00,1.709731994261684207e+00
9.871142271290991310e-01,1.395990327617407933e+00
9.871142271290991310e-01,1.395990327617407933e+00
9.871142271290991310e-01,1.395990327617407933e+00
