birth,death
5.269521919690284051e+00,5.461203152612390532e+00
5.171017497175270705e+00,5.269521919690284051e+00
5.070599831389698053e+00,5.171017497175270705e+00
5.070599831389698053e+00,5.171017497175270705e+00
5.070599831389698053e+00,5.461203152612390532e+00
4.420446449632414954e+00,4.535282363874535427e+00
4.181323738011765379e+00,4.420446449632414954e+00
4.056479865111758620e+00,4.181323738011765379e+00
4.056479865111758620e+00,4.181323738011765379e+00
3.794489462898793075e+00,4.056479865111758620e+00
3.656461537886923185e+00,3.794489462898793075e+00
3.363455420551796582e+00,3.513014613126855590e+00
3.363455420551796582e+00,3.513014613126855590e+00
3.363455420551796582e+00,3.513014613126855590e+00
3.363455420551796582e+00,3.513014613126855590e+00
3.363455420551796582e+00,3.656461537886923185e+00
3.042359898833819187e+00,3.513014613126855590e+00
3.042359898833819187e+00,4.968152910698870883e+00
3.042359898833819187e+00,4.968152910698870883e+00
2.868364420367216283e+00,3.042359898833819187e+00
1.756507306563427795e+00,2.028239932555879310e+00
1.434182210183608142e+00,2.028239932555879310e+00
1.014119966277939655e+00,1.434182210183608142e+00
1.014119966277939655e+00,1.434182210183608142e+00
1.014119966277939655e+00,1.434182210183608142e+00
1.014119966277939655e+00,1.434182210183608142e+00
1.014119966277939655e+00,1.434182210183608142e+00
1.014119966277939655e+00,1.434182210183608142e+00
1.014119966277939655e+00,1.434182210183608142e+00
0.000000000000000000e+00,5.461203152612390532e+00
0.000000000000000000e+00,1.434182210183608142e+00
0.000000000000000000e+00,1.434182210183608142e+00
0.000000000000000000e+00,1.756507306563427795e+00
0.000000000000000000e+00,2.028239932555879310e+00
