birth,death
3.027275192396207792e+00,3.191028237365487019e+00
3.027275192396207792e+00,3.191028237365487019e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.854142422748225272e+00,3.027275192396207792e+00
2.471759844118827321e+00,2.854142422748225272e+00
2.471759844118827321e+00,3.027275192396207792e+00
2.471759844118827321e+00,2.854142422748225272e+00
2.471759844118827321e+00,2.854142422748225272e+00
2.471759844118827321e+00,3.027275192396207792e+00
2.471759844118827321e+00,3.027275192396207792e+00
2.256397705598891967e+00,2.471759844118827321e+00
2.256397705598891967e+00,2.471759844118827321e+00
2.256397705598891967e+00,2.471759844118827321e+00
2.256397705598891967e+00,2.471759844118827321e+00
2.256397705598891967e+00,2.471759844118827321e+00
2.256397705598891967e+00,2.471759844118827321e+00
2.018183461597471862e+00,2.256397705598891967e+00
2.018183461597471862e+00,2.256397705598891967e+00
2.018183461597471862e+00,2.256397705598891967e+00
1.747798147241026667e+00,2.018183461597471862e+00
1.747798147241026667e+00,2.018183461597471862e+00
1.747798147241026667e+00,2.018183461597471862e+00
1.427071211374112636e+00,1.747798147241026667e+00
0.000000000000000000e+00,1.009091730798735931e+00
