birth,death
3.459073170666555619e+00,3.600317504521040046e+00
3.311810421308826413e+00,3.600317504521040046e+00
3.311810421308826413e+00,3.600317504521040046e+00
3.311810421308826413e+00,3.459073170666555619e+00
3.311810421308826413e+00,3.459073170666555619e+00
3.157687339391650028e+00,3.311810421308826413e+00
2.995645239346422350e+00,3.157687339391650028e+00
2.824321417028071490e+00,2.995645239346422350e+00
2.824321417028071490e+00,2.995645239346422350e+00
2.824321417028071490e+00,2.995645239346422350e+00
2.445934095598773172e+00,2.824321417028071490e+00
2.445934095598773172e+00,2.824321417028071490e+00
2.445934095598773172e+00,2.824321417028071490e+00
2.232822130550742745e+00,2.445934095598773172e+00
1.412160708514035745e+00,1.997096826230948308e+00
