birth,death
8.544003745317530374e+00,8.774964387392122589e+00
8.366600265340755627e+00,8.544003745317530374e+00
8.306623862918074863e+00,8.485281374238569541e+00
8.246211251235321171e+00,8.306623862918074863e+00
8.062257748298549132e+00,8.124038404635960831e+00
7.681145747868607820e+00,7.810249675906653977e+00
7.549834435270749822e+00,7.615773105863908654e+00
7.348469228349534532e+00,7.483314773547882659e+00
7.280109889280518054e+00,7.348469228349534532e+00
7.141428428542850426e+00,7.211102550927978250e+00
7.141428428542850426e+00,7.280109889280518054e+00
7.071067811865475505e+00,7.280109889280518054e+00
7.071067811865475505e+00,7.280109889280518054e+00
6.928203230275508773e+00,7.071067811865475505e+00
6.708203932499369415e+00,6.928203230275508773e+00
6.708203932499369415e+00,6.928203230275508773e+00
6.708203932499369415e+00,7.549834435270749822e+00
6.708203932499369415e+00,6.782329983125268136e+00
6.480740698407860378e+00,6.557438524302000360e+00
6.480740698407860378e+00,6.708203932499369415e+00
6.403124237432848531e+00,6.480740698407860378e+00
6.403124237432848531e+00,6.480740698407860378e+00
6.403124237432848531e+00,6.708203932499369415e+00
6.324555320336759046e+00,6.403124237432848531e+00
6.164414002968976014e+00,6.324555320336759046e+00
6.164414002968976014e+00,6.403124237432848531e+00
6.082762530298219339e+00,6.324555320336759046e+00
5.916079783099616130e+00,6.928203230275508773e+00
5.830951894845300743e+00,5.916079783099616130e+00
5.830951894845300743e+00,6.000000000000000000e+00
4.898979485566355763e+00,5.000000000000000000e+00
4.898979485566355763e+00,5.099019513592784492e+00
4.582575694955839829e+00,4.690415759823429731e+00
4.123105625617660586e+00,4.242640687119284770e+00
4.123105625617660586e+00,4.242640687119284770e+00
3.605551275463989125e+00,3.741657386773941329e+00
3.316624790355399810e+00,3.464101615137754386e+00
0.000000000000000000e+00,9.110433579144299188e+00
0.000000000000000000e+00,1.000000000000000000e+00
