birth,death
6.534966877256835005e+00,6.616149702736104032e+00
5.564323792066907970e+00,5.935678433982610080e+00
5.166344941472400976e+00,5.268658734103828678e+00
4.846461146833240363e+00,5.061963576726561165e+00
4.735033352109894622e+00,5.061963576726561165e+00
4.735033352109894622e+00,4.846461146833240363e+00
4.620919393737784375e+00,4.735033352109894622e+00
4.383789050476741167e+00,4.620919393737784375e+00
4.260277178413240051e+00,4.383789050476741167e+00
4.260277178413240051e+00,4.383789050476741167e+00
4.133075953177920425e+00,4.260277178413240051e+00
4.133075953177920425e+00,4.260277178413240051e+00
3.866138542576478709e+00,4.133075953177920425e+00
3.267483438628417503e+00,3.426965541682916339e+00
3.099806964883440319e+00,3.267483438628417503e+00
3.099806964883440319e+00,3.426965541682916339e+00
2.922526033651161370e+00,3.099806964883440319e+00
2.530981788363280582e+00,2.922526033651161370e+00
2.530981788363280582e+00,2.922526033651161370e+00
2.530981788363280582e+00,2.922526033651161370e+00
2.310459696868892188e+00,2.530981788363280582e+00
