birth,death
4.986430121975919505e+00,5.085180899024412504e+00
4.986430121975919505e+00,5.085180899024412504e+00
4.231126263794442899e+00,4.347068998144045793e+00
4.111915617533654199e+00,4.231126263794442899e+00
4.111915617533654199e+00,4.231126263794442899e+00
3.731502619904656814e+00,4.111915617533654199e+00
3.595765897260466026e+00,4.111915617533654199e+00
3.153695315743027638e+00,3.307623551584046862e+00
2.820750842529629043e+00,4.570138696312506355e+00
2.820750842529629043e+00,3.595765897260466026e+00
2.229999343558144886e+00,2.442841887377017240e+00
2.229999343558144886e+00,4.111915617533654199e+00
1.410375421264814522e+00,1.727350063930833235e+00
9.972860243951838788e-01,1.410375421264814522e+00
9.972860243951838788e-01,1.410375421264814522e+00
9.972860243951838788e-01,1.410375421264814522e+00
9.972860243951838788e-01,1.410375421264814522e+00
9.972860243951838788e-01,1.410375421264814522e+00
9.972860243951838788e-01,1.410375421264814522e+00
9.972860243951838788e-01,1.410375421264814522e+00
0.000000000000000000e+00,5.900023686892137853e+00
0.000000000000000000e+00,1.727350063930833235e+00
0.000000000000000000e+00,9.972860243951838788e-01
0.000000000000000000e+00,1.410375421264814522e+00
0.000000000000000000e+00,1.727350063930833235e+00
0.000000000000000000e+00,1.994572048790367758e+00
0.000000000000000000e+00,9.972860243951838788e-01
0.000000000000000000e+00,9.972860243951838788e-01
0.000000000000000000e+00,9.972860243951838788e-01
