birth,death
7.145701450894030415e+00,7.216804709136532381e+00
6.626650913830135714e+00,6.779007619318489830e+00
6.229478101031808102e+00,6.470707871999277216e+00
6.229478101031808102e+00,6.470707871999277216e+00
6.229478101031808102e+00,6.470707871999277216e+00
6.146964814176886449e+00,6.229478101031808102e+00
6.063328742714063857e+00,6.229478101031808102e+00
6.063328742714063857e+00,6.146964814176886449e+00
6.063328742714063857e+00,6.146964814176886449e+00
5.978522765509580950e+00,6.229478101031808102e+00
5.978522765509580950e+00,6.063328742714063857e+00
5.978522765509580950e+00,6.229478101031808102e+00
5.978522765509580950e+00,6.229478101031808102e+00
5.892496370233090808e+00,6.229478101031808102e+00
5.805195301512600103e+00,6.229478101031808102e+00
5.805195301512600103e+00,5.978522765509580950e+00
5.805195301512600103e+00,6.063328742714063857e+00
5.805195301512600103e+00,5.978522765509580950e+00
5.805195301512600103e+00,5.978522765509580950e+00
5.805195301512600103e+00,5.892496370233090808e+00
5.805195301512600103e+00,5.978522765509580950e+00
5.535036543256550701e+00,5.805195301512600103e+00
5.535036543256550701e+00,5.805195301512600103e+00
5.535036543256550701e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.716561160715223799e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
5.442004093225145667e+00,5.805195301512600103e+00
4.166624141508935786e+00,4.287420870536417183e+00
3.351631070026650505e+00,3.500664481791159854e+00
3.031664371357031929e+00,3.195654838223585426e+00
