birth,death
7.778267718217726667e+00,7.898868208042617134e+00
7.144795122148439148e+00,7.593776615665648322e+00
7.011235773080073841e+00,7.078330467108535196e+00
6.943492775962150532e+00,7.078330467108535196e+00
6.594347295255431618e+00,6.736177441412970701e+00
6.594347295255431618e+00,6.805984253440510834e+00
6.522275761922631254e+00,6.594347295255431618e+00
6.449398885065510179e+00,6.805984253440510834e+00
6.375689048471942399e+00,6.522275761922631254e+00
6.225651818970177942e+00,6.522275761922631254e+00
6.225651818970177942e+00,6.522275761922631254e+00
6.225651818970177942e+00,6.522275761922631254e+00
6.225651818970177942e+00,6.522275761922631254e+00
6.225651818970177942e+00,6.375689048471942399e+00
6.225651818970177942e+00,6.375689048471942399e+00
6.149260560032198342e+00,6.225651818970177942e+00
6.149260560032198342e+00,6.805984253440510834e+00
5.993557805127862181e+00,6.149260560032198342e+00
5.833700788663295000e+00,5.993557805127862181e+00
5.235906697077062688e+00,5.585343273605767322e+00
5.235906697077062688e+00,5.585343273605767322e+00
5.235906697077062688e+00,5.669338111269460967e+00
5.052133081059728248e+00,6.225651818970177942e+00
4.861417323886079167e+00,4.957692359642626556e+00
4.125049387077125651e+00,4.238085367439472506e+00
0.000000000000000000e+00,8.307193564566837551e+00
0.000000000000000000e+00,3.637951608021830818e+00
