birth,death
7.426030781200261721e+00,7.629521355684923734e+00
7.356949923631910693e+00,7.629521355684923734e+00
7.356949923631910693e+00,7.629521355684923734e+00
7.216804709136532381e+00,7.356949923631910693e+00
7.145701450894030415e+00,7.216804709136532381e+00
7.145701450894030415e+00,7.287214227283386414e+00
6.703262140053301010e+00,6.779007619318489830e+00
6.626650913830135714e+00,6.779007619318489830e+00
6.470707871999277216e+00,6.549143558455532421e+00
6.229478101031808102e+00,6.470707871999277216e+00
6.229478101031808102e+00,6.391309676447170851e+00
6.063328742714063857e+00,6.146964814176886449e+00
6.063328742714063857e+00,6.229478101031808102e+00
5.978522765509580950e+00,6.229478101031808102e+00
5.978522765509580950e+00,7.426030781200261721e+00
5.805195301512600103e+00,6.853916054875805131e+00
5.442004093225145667e+00,5.535036543256550701e+00
4.519338412878993516e+00,4.630943821148103545e+00
3.781149796435805399e+00,4.042219161809375905e+00
3.031664371357031929e+00,3.351631070026650505e+00
0.000000000000000000e+00,7.957116377142112285e+00
0.000000000000000000e+00,1.010554790452343976e+00
