birth,death
9.433981132056603158e+00,9.539392014169456147e+00
9.165151389911679658e+00,9.219544457292887074e+00
8.366600265340755627e+00,8.544003745317530374e+00
8.306623862918074863e+00,8.485281374238569541e+00
8.306623862918074863e+00,8.602325267042626677e+00
8.306623862918074863e+00,8.660254037844387298e+00
8.124038404635960831e+00,8.185352771872450361e+00
8.124038404635960831e+00,8.306623862918074863e+00
8.062257748298549132e+00,8.124038404635960831e+00
8.062257748298549132e+00,8.124038404635960831e+00
8.000000000000000000e+00,8.366600265340755627e+00
7.348469228349534532e+00,7.483314773547882659e+00
7.280109889280518054e+00,7.348469228349534532e+00
7.280109889280518054e+00,7.348469228349534532e+00
7.280109889280518054e+00,7.348469228349534532e+00
7.280109889280518054e+00,7.348469228349534532e+00
7.280109889280518054e+00,7.483314773547882659e+00
7.211102550927978250e+00,7.280109889280518054e+00
7.071067811865475505e+00,7.141428428542850426e+00
7.071067811865475505e+00,7.280109889280518054e+00
7.000000000000000000e+00,7.071067811865475505e+00
6.928203230275508773e+00,7.000000000000000000e+00
6.708203932499369415e+00,6.928203230275508773e+00
6.708203932499369415e+00,7.000000000000000000e+00
6.708203932499369415e+00,7.615773105863908654e+00
6.557438524302000360e+00,6.633249580710799620e+00
6.480740698407860378e+00,6.708203932499369415e+00
6.403124237432848531e+00,6.480740698407860378e+00
6.403124237432848531e+00,6.782329983125268136e+00
6.403124237432848531e+00,7.615773105863908654e+00
6.164414002968976014e+00,6.403124237432848531e+00
6.164414002968976014e+00,6.480740698407860378e+00
5.916079783099616130e+00,6.000000000000000000e+00
5.916079783099616130e+00,6.164414002968976014e+00
5.744562646538028616e+00,5.830951894845300743e+00
5.196152422706632024e+00,5.385164807134503739e+00
4.472135954999579610e+00,4.582575694955839829e+00
4.358898943540673976e+00,4.472135954999579610e+00
4.123105625617660586e+00,4.242640687119284770e+00
3.741657386773941329e+00,4.123105625617660586e+00
3.000000000000000000e+00,3.162277660168379523e+00
2.000000000000000000e+00,2.236067977499789805e+00
1.732050807568877193e+00,2.236067977499789805e+00
1.732050807568877193e+00,2.236067977499789805e+00
1.732050807568877193e+00,2.236067977499789805e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.414213562373095145e+00,1.732050807568877193e+00
1.414213562373095145e+00,1.732050807568877193e+00
1.414213562373095145e+00,1.732050807568877193e+00
1.414213562373095145e+00,2.000000000000000000e+00
1.414213562373095145e+00,2.236067977499789805e+00
1.414213562373095145e+00,2.000000000000000000e+00
1.414213562373095145e+00,1.732050807568877193e+00
1.414213562373095145e+00,2.236067977499789805e+00
1.000000000000000000e+00,2.236067977499789805e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
0.000000000000000000e+00,9.695359714832658682e+00
