birth,death
5.186404996722386862e+00,5.477454163382212471e+00
5.085688516092803368e+00,5.186404996722386862e+00
4.982936742063809099e+00,5.085688516092803368e+00
4.661110517192582847e+00,4.770798713086943366e+00
4.548778093749416662e+00,4.661110517192582847e+00
4.433600459994771370e+00,4.661110517192582847e+00
4.433600459994771370e+00,4.548778093749416662e+00
4.433600459994771370e+00,4.661110517192582847e+00
4.433600459994771370e+00,4.661110517192582847e+00
4.315349804078125295e+00,4.548778093749416662e+00
4.315349804078125295e+00,4.548778093749416662e+00
4.193766186168273791e+00,4.548778093749416662e+00
4.193766186168273791e+00,4.433600459994771370e+00
4.193766186168273791e+00,4.661110517192582847e+00
4.193766186168273791e+00,4.661110517192582847e+00
4.193766186168273791e+00,4.548778093749416662e+00
4.193766186168273791e+00,4.315349804078125295e+00
4.193766186168273791e+00,5.186404996722386862e+00
3.805780800614008363e+00,4.193766186168273791e+00
3.805780800614008363e+00,4.193766186168273791e+00
3.805780800614008363e+00,4.315349804078125295e+00
3.373464121699831786e+00,3.667342143162193757e+00
3.373464121699831786e+00,3.667342143162193757e+00
3.373464121699831786e+00,3.667342143162193757e+00
3.216471836203029788e+00,3.667342143162193757e+00
3.051413109655682021e+00,3.373464121699831786e+00
2.034275406437121347e+00,2.491468371031904550e+00
1.438449934692708654e+00,1.761734180268460959e+00
1.438449934692708654e+00,1.761734180268460959e+00
1.438449934692708654e+00,1.761734180268460959e+00
1.438449934692708654e+00,2.034275406437121347e+00
1.017137703218560674e+00,1.438449934692708654e+00
1.017137703218560674e+00,1.438449934692708654e+00
0.000000000000000000e+00,5.477454163382212471e+00
0.000000000000000000e+00,2.491468371031904550e+00
0.000000000000000000e+00,1.017137703218560674e+00
0.000000000000000000e+00,2.274389046874708331e+00
0.000000000000000000e+00,1.761734180268460959e+00
