0.0000,0.0703,0.0000
0.0000,0.0791,0.0000
0.0000,0.0791,0.0000
0.0000,0.0835,0.0000
0.0000,0.0879,0.0000
0.0000,0.0967,0.0000
0.0000,0.1011,0.0000
0.0000,0.1011,0.0000
0.0000,0.1055,0.0000
0.0000,0.1055,0.0000
0.0000,0.1099,0.0000
0.0000,0.1099,0.0000
0.0000,0.1143,0.0000
0.0000,0.1143,0.0000
0.0000,0.1143,0.0000
0.0000,0.1143,0.0000
0.0000,0.1143,0.0000
0.0000,0.1187,0.0000
0.0000,0.1231,0.0000
0.0000,0.1231,0.0000
0.0000,0.1231,0.0000
0.0000,0.1231,0.0000
0.0000,0.1275,0.0000
0.0000,0.1275,0.0000
0.0000,0.1275,0.0000
0.0000,0.1275,0.0000
0.0000,0.1275,0.0000
0.0000,0.1319,0.0000
0.0000,0.1319,0.0000
0.0000,0.1319,0.0000
0.0000,0.1319,0.0000
0.0000,0.1363,0.0000
0.0000,0.1363,0.0000
0.0000,0.1363,0.0000
0.0000,0.1363,0.0000
0.0000,0.1407,0.0000
0.0000,0.1407,0.0000
0.0000,0.1407,0.0000
0.0000,0.1451,0.0000
0.0000,0.1451,0.0000
0.0000,0.1451,0.0000
0.0000,0.1451,0.0000
0.0000,0.1495,0.0000
0.0000,0.1495,0.0000
0.0000,0.1495,0.0000
0.0000,0.1495,0.0000
0.0000,0.1495,0.0000
0.0000,0.1538,0.0000
0.0000,0.1538,0.0000
0.0000,0.1582,0.0000
0.0000,0.1582,0.0000
0.0000,0.1582,0.0000
0.0000,0.1582,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1626,0.0000
0.0000,0.1670,0.0000
0.0000,0.1670,0.0000
0.0000,0.1714,0.0000
0.0000,0.1714,0.0000
0.0000,0.1714,0.0000
0.0000,0.1714,0.0000
0.0000,0.1714,0.0000
0.0000,0.1758,0.0000
0.0000,0.1758,0.0000
0.0000,0.1758,0.0000
0.0000,0.1758,0.0000
0.0000,0.1758,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1802,0.0000
0.0000,0.1846,0.0000
0.0000,0.1846,0.0000
