burn_in,n_stable_h1_empty,n_sweep,mean_aperiodic_peak
0,0,60,0.23042856327263647
10,0,60,0.2654829271026976
25,0,60,0.284377834117121
50,0,60,0.2985555894920477
100,0,60,0.3160963758387035
120,11,60,0.3213292676459005
140,59,60,0.32638718099168484
150,60,60,0.32961537534260277
160,60,60,0.33284308819850544
200,60,60,0.3435348718886873
400,60,60,0.3666344380612766
800,60,60,0.3715151131749104
